baller_id,Name,Body,Team,Gender,Role,Number,Dunks,Shooting,Playmaking,Defense,Image,Skill Rank,Trait Rank,Combo Rank
3641,Ballerz #3641,Lizard,Dallas Pythons,M,Player,12,99,95,95,77,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4621.png,17,1512,32
2669,Dave from IT,Human III,Team Flow (M),M,Player,23,86,98,99,82,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5504.png,18,713,19
286,Ballerz #286,Human III,San Diego Keepers,M,Player,8,90,98,99,77,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/286.png,19,4251,116
8590,Ballerz #8590,Lizard,Cleveland Firebirds,W,Player,94,97,81,94,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4987.png,20,5188,169
2935,Ballerz #2935,Human II,Charlotte Clovers,W,Player,66,91,98,91,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6264.png,21,8284,329
945,Ballerz #945,Human I,Tallahassee Tarantulas,M,Player,34,98,85,99,81,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/945.png,22,4027,134
29,Ballerz #29,Human IV,Iowa City Rattlesnakes,M,Player,11,90,83,92,99,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/29.png,23,5086,205
8132,Ballerz #8132,Devil,Chicago Squid,M,Player,60,94,96,89,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9126.png,24,324,6
5348,Jawzus Johnson,Human V,Omaha Bullsnakes,M,Player,16,95,93,83,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7140.png,25,942,28
8152,Ballerz #8152,Human I,Los Angeles Knives,W,Player,93,99,96,87,81,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7850.png,26,4653,181
4450,Antoine Tyler Jr,Human IV,Seattle Scream,M,Player,93,95,81,99,88,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5274.png,27,6240,276
8788,Ballerz #8788,Human V,Portland Creatures,M,Player,44,87,98,86,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8817.png,28,8058,393
2933,Ballerz #2933,Human I,Nashville Miracle,W,Player,62,87,98,97,81,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4580.png,29,9353,688
5682,Bobbi Digital,Human III,Los Angeles Knives,W,Player,4,96,91,91,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9145.png,30,5991,281
6563,Ballerz #6563,Human V,New Jersey Scientists,M,Player,53,98,76,99,88,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4159.png,31,3740,147
7711,Ballerz #7711,Zombie,Phoenix Skulls,M,Player,31,93,85,97,88,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2577.png,32,1085,41
2090,Ballerz #2090,Human II,Tampa Bay Omens,W,Player,41,90,99,86,87,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1698.png,33,9198,748
2843,Ballerz #2843,Human III,D.C. Dobermans,M,Player,86,95,91,94,83,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2736.png,34,6336,346
4970,Ballerz #4970,Human I,Seattle Scream,M,Player,24,78,98,92,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9162.png,35,5600,296
730,Ballerz #730,Human I,Helena Pronghorns,M,Player,30,86,93,92,92,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/730.png,36,6167,349
2135,Ballerz #2135,Stone,D.C. Dobermans,M,Player,91,92,95,75,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2206.png,37,765,36
5522,Ballerz #5522,Human I,Wisconsin Dragons,M,Player,45,93,82,89,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9226.png,38,3877,191
3488,The Glove,Human I,Seattle Scream,M,Player,97,87,83,97,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7790.png,39,3961,201
6419,Ballerz #6419,Human V,Team Flow (W),W,Captain,32,87,95,97,83,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4311.png,40,1338,57
1675,Ballerz #1675,Emoji,New York Golden Bulls,M,Player,29,98,89,89,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2404.png,41,375,15
1775,Shooter Mc'Gavin,Human I,D.C. Dobermans,M,Player,60,92,96,80,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1258.png,42,6870,408
5515,Ballerz #5515,Human V,New Orleans Giants,M,Player,15,92,96,99,73,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4514.png,43,5209,291
188,Ballerz #188,Human V,Tallahassee Tarantulas,M,Player,19,92,97,82,91,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/188.png,44,9791,1126
8654,Ballerz #8654,Pink Alien,Salt Lake City Souls,W,Player,0,89,97,90,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8463.png,45,43,3
6898,OG TimeLord,Human IV,St. Louis Orcs,M,Player,27,85,95,82,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4491.png,46,822,40
4618,Ballerz #4618,Human I,Nashville Miracle,W,Player,16,87,97,86,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3620.png,47,1847,80
130,Ballerz #130,Human III,Tallahassee Tarantulas,M,Player,28,91,83,88,99,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/130.png,48,6849,433
194,Ballerz #194,Human V,Tallahassee Tarantulas,M,Player,84,99,86,84,92,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/194.png,49,6553,410
9227,Ballerz #9227,Human V,Charlotte Clovers,W,Player,28,82,86,98,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7051.png,50,7433,489
8140,Ballerz #8140,Human I,Austin Machines,M,Player,35,94,87,82,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6841.png,51,9512,1007
2728,Ballerz #2728,Bright Pink Alien,San Francisco Surge,W,Player,17,99,95,77,89,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9565.png,52,194,7
7801,Ballerz #7801,Human II,New Orleans Giants,M,Player,27,98,87,87,89,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6782.png,53,4022,237
3946,Michael Jordan,Human IV,Wisconsin Dragons,M,Player,23,99,88,79,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7830.png,54,4012,239
6358,Pink,Human III,Orlando Freeze,W,Player,95,85,95,87,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4505.png,55,1650,88
9560,Diamond McCools,Human II,San Jose Sirens,W,Player,52,88,86,93,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9655.png,56,6197,449
6370,Ballerz #6370,Human IV,Salt Lake City Souls,W,Player,57,98,79,94,89,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5754.png,57,8892,883
6956,Ballerz #6956,Human IV,Portland Creatures,M,Player,1,90,98,79,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3492.png,58,3838,244
9054,Ballerz #9054,Human IV,Tallahassee Tarantulas,M,Player,59,88,81,93,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3773.png,59,8106,668
2628,Tekato,Human II,Tallahassee Tarantulas,M,Captain,91,96,73,98,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9002.png,60,1161,63
1801,Ballerz #1801,Stone,Wisconsin Dragons,M,Player,90,94,85,89,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2339.png,61,2866,163
2860,Ballerz #2860,Human V,Salt Lake City Souls,W,Player,64,93,87,91,90,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3135.png,62,1941,117
9501,Pixel Pete,Human IV,Sierra Spiders,M,Captain,80,85,98,83,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6402.png,63,2044,124
2566,Ballerz #2566,Human I,Seattle Scream,M,Player,75,84,87,98,91,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8143.png,64,3322,209
2381,Ballerz #2381,Human IV,Nashville Miracle,W,Player,67,84,98,85,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1422.png,65,9622,1228
4574,Ballerz #4574,Human IV,Orlando Freeze,W,Player,25,84,92,99,84,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9688.png,66,2933,189
8052,Ballerz #8052,Human I,Michigan Colliders,M,Player,27,85,95,85,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6093.png,67,6011,483
9797,Ballerz #9797,Human II,Las Vegas Scorpions,M,Player,84,94,90,82,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9821.png,68,5883,485
2519,Ballerz #2519,Human III,Salt Lake City Souls,W,Player,40,94,94,88,84,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1060.png,69,7065,626
1300,Angry Doncic,Zombie,New York Golden Bulls,M,Player,77,82,92,94,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1900.png,70,625,44
2304,Ballerz #2304,Devil,Toronto Spears,M,Player,44,94,84,92,90,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2076.png,71,333,23
7627,Ballerz #7627,Human III,Orlando Freeze,W,Player,64,98,94,94,72,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7739.png,72,196,10
1066,Klay Thompson,Human II,New York Golden Bulls,M,Player,11,93,98,81,87,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2457.png,73,1929,137
7023,Ballerz #7023,Human IV,Boston Rulers,M,Player,18,83,84,96,96,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6986.png,74,6004,514
5259,Ballerz #5259,Human III,Alaska Whales,M,Player,82,87,93,89,91,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2528.png,75,4303,330
1179,Ballerz #1179,Human V,Delaware Horsemen,M,Player,57,82,98,89,90,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2325.png,76,3045,223
1784,Ballerz #1784,Human III,Helena Pronghorns,M,Player,19,98,87,92,82,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1666.png,77,9663,1395
5437,Ballerz #5437,Human III,Tampa Bay Omens,W,Player,68,96,76,89,97,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2706.png,78,4015,299
4587,Ballerz #4587,Human III,Omaha Bullsnakes,M,Player,35,95,89,80,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6242.png,79,9693,1489
3585,Ballerz #3585,Human I,Sierra Spiders,M,Player,49,94,83,86,96,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3224.png,80,2424,179
5361,Ballerz #5361,Human IV,Michigan Colliders,M,Player,74,80,86,98,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4028.png,81,1682,129
8963,Ballerz #8963,Human II,Orlando Freeze,W,Player,45,94,94,93,78,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4817.png,82,7591,729
7718,Ballerz #7718,Human IV,Boston Rulers,M,Captain,89,97,94,75,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6547.png,83,3661,282
4129,Ballerz #4129,Pink Alien,Cleveland Firebirds,W,Player,53,83,94,87,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8643.png,84,45,5
6143,Ballerz #6143,Human IV,Michigan Colliders,M,Player,82,83,94,87,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7565.png,85,4943,434
9535,Ballerz #9535,Human IV,Portland Creatures,M,Player,8,84,87,95,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7735.png,86,4494,389
6581,Enki,Human IV,Team Flow (M),M,Player,72,83,91,98,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6432.png,87,5034,448
7434,Deke Mutomboz,Human III,Portland Bats,M,Player,55,90,82,94,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4871.png,88,6728,659
6712,Ballerz #6712,Human II,Houston Rogues,W,Player,86,86,85,94,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7093.png,89,7469,744
4969,Ballerz #4969,Human I,New Jersey Scientists,M,Player,59,83,98,87,90,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2749.png,90,5160,467
6602,Ballerz #6602,Human V,Michigan Colliders,M,Captain,77,77,95,91,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6343.png,91,6228,617
8188,Ballerz #8188,Human III,Wisconsin Dragons,M,Player,67,94,93,84,88,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3333.png,92,2463,207
8219,Ballerz #8219,Human IV,Miami Tentacles,M,Player,73,94,84,89,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5512.png,93,3292,258
5391,Ballerz #5391,Human V,Charlotte Clovers,W,Player,22,87,93,85,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5840.png,94,2772,229
8720,Ballerz #8720,Lizard,Seattle Scream,M,Player,44,90,86,90,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4138.png,95,803,65
1457,Ballerz #1457,Human IV,Boston Rulers,M,Captain,58,96,99,80,81,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1636.png,96,1918,156
3066,Ballerz #3066,Stone,Austin Machines,M,Player,98,96,87,81,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6471.png,97,1484,122
8646,Ballerz #8646,Human IV,Sierra Spiders,M,Player,12,82,79,96,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2566.png,98,2210,185
1183,Gucci Ballerz 420,Human V,Pennsylvania Fangs,M,Player,94,98,85,73,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1978.png,99,5023,471
568,Ballerz #568,Human IV,Helena Pronghorns,M,Player,78,80,78,98,99,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/568.png,100,6650,682
3973,Ballerz #3973,Human II,Wisconsin Dragons,M,Player,59,94,74,96,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4381.png,101,5971,614
5819,Ballerz #5819,Human V,Minneapolis Express,W,Player,65,93,96,93,75,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6518.png,102,3702,311
9690,Ballerz #9690,Human II,Pennsylvania Fangs,M,Player,87,75,93,93,96,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9504.png,103,1109,89
6716,Ballerz #6716,Human II,Chicago Squid,M,Player,60,89,94,82,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5306.png,104,7838,868
4086,Ballerz #4086,Human III,Seattle Scream,M,Player,59,97,93,89,78,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3608.png,105,4618,445
7100,Ballerz #7100,Human III,Portland Bats,M,Player,98,99,86,69,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5128.png,106,8789,1167
2446,Ballerz #2446,Human V,Charlotte Clovers,W,Player,20,93,94,89,82,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2468.png,107,8510,1046
8294,Ballerz #8294,Human III,Michigan Colliders,M,Player,47,86,88,92,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8859.png,108,6865,752
7544,Ballerz #7544,Zombie,D.C. Dobermans,M,Player,18,91,90,84,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9024.png,109,1825,170
1238,Ballerz #1238,Human V,Portland Creatures,M,Player,55,83,99,91,83,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1223.png,110,4668,465
9697,Ballerz #9697,Human IV,San Francisco Surge,W,Player,6,99,82,83,92,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5711.png,111,4359,418
4166,"Sylvester ""Snitch"" Richmond",Human IV,St. Louis Orcs,M,Player,2,92,91,99,73,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9220.png,112,2186,213
1966,Ballerz #1966,Human III,Orlando Freeze,W,Player,63,96,97,77,86,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1753.png,113,2403,234
4492,Ballerz #4492,Human II,Phoenix Skulls,M,Player,13,95,82,98,81,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7343.png,114,5290,574
6672,Ballerz #6672,Stone,Los Angeles Mammoths,M,Player,38,82,86,89,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6620.png,115,3037,273
4931,Ballerz #4931,Human I,Boston Rulers,M,Player,43,95,86,75,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3249.png,116,4810,499
2342,Ballerz #2342,Human II,D.C. Dobermans,M,Player,92,90,93,79,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1278.png,117,6047,676
2885,Ballerz #2885,Human V,Orlando Freeze,W,Player,67,81,95,87,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3054.png,118,6908,781
3,Ballerz #3,Human I,Alaska Whales,M,Player,45,90,99,76,90,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/3.png,119,7242,837
4852,Ballerz #4852,Human I,New Jersey Scientists,M,Player,58,93,95,82,87,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9075.png,120,863,81
9178,Vic,Human I,Toronto Spears,M,Player,12,94,92,96,74,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4423.png,121,5907,674
