,category,trait,count,rarity_score
46,Hair,Rainbow Hijack,10,622.4377499999999
47,Hair,Rat Tail,862,7.220855568445475
48,Hair,Short,886,7.025256772009029
49,Hair,Short Braids,599,10.391281302170285
50,Hair,Side Tennis Ball,420,14.819946428571429
51,Hair Pigment,Bejeweled Black,248,23.90313940092166
52,Hair Pigment,Bejeweled Blonde,277,21.40064466219701
53,Hair Pigment,Bejeweled Dark Brown,246,24.09747386759582
54,Hair Pigment,Bejeweled Flame,274,21.634958289885297
55,Hair Pigment,Bejeweled Hyacinth,230,25.773819875776397
56,Hair Pigment,Bejeweled Light Brown,257,23.066064480266814
57,Hair Pigment,Bejeweled Love,235,25.225440729483278
58,Hair Pigment,Bejeweled Red,283,20.946920747097426
59,Hair Pigment,Bejeweled Stalk,272,21.794038865546216
60,Hair Pigment,Bejeweled Taxi,270,21.955476190476187
61,Hair Pigment,Black,4230,1.4014133738601822
62,Hair Pigment,Blonde,262,22.625872410032716
63,Hair Pigment,Dark brown,279,21.247235023041473
64,Hair Pigment,Dyed Flame,240,24.699910714285714
65,Hair Pigment,Dyed Hyacinth,240,24.699910714285714
66,Hair Pigment,Dyed Love,240,24.699910714285714
67,Hair Pigment,Dyed Stalk,240,24.699910714285714
68,Hair Pigment,Dyed Taxi,240,24.699910714285714
69,Hair Pigment,Light brown,284,20.87316398390342
70,Hair Pigment,Red,277,21.40064466219701
71,Hair Pigment,White,840,7.057117346938775
72,Hat,Bike helmet,259,36.97283932283931
73,Hat,Camo Cap,287,33.365733047440365
74,Hat,Cap,284,33.71818797399783
75,Hat,Clear Hijack,20,478.79826923076917
76,Hat,Cork,280,34.199876373626374
77,Hat,Cowboy,271,35.335665625887025
78,Hat,Drip Hijack,30,319.19884615384615
79,Hat,Durag,80,119.69956730769229
80,Hat,Hard hat,256,37.40611478365384
81,Hat,No Cap,7996,1.197594470312079
82,Hat,Rainbow Hijack,10,957.5965384615383
83,Hat,Top hat,258,37.116144901610014
84,Hat,Wig,28,341.9987637362637
85,Headgear,Balaclava,14,740.9973214285712
86,Headgear,Belgium,2,5186.98125
87,Headgear,Clear Hijack,20,518.6981249999999
88,Headgear,Drip Hijack,30,345.79875
89,Headgear,Medieval,18,576.33125
90,Headgear,Motorbike,20,518.6981249999999
91,Headgear,Ned Kelly,15,691.5975
92,Headgear,None,9602,1.0803960112476567
93,Headgear,Rainbow Hijack,10,1037.3962499999998
94,Headgear,Snorkle,183,56.68831967213114
95,Headgear,Surgical mask,120,86.4496875
96,Headgear,Veiled Hard Hat,27,384.22083333333325
97,Orientation,Fem,4966,12.533986105517519
98,Orientation,Masc,5000,12.448755
99,Pigment,Belgian,100,103.73962499999999
100,Pigment,Clear,142,73.05607394366197
101,Pigment,Dead,840,12.349955357142855
102,Pigment,Drip,222,46.7295608108108
103,Pigment,Flame,543,19.104903314917124
104,Pigment,Funny,362,28.65735497237569
105,Pigment,Hyacinth,200,51.869812499999995
106,Pigment,Love,508,20.421186023622045
107,Pigment,Rainbow,99,104.7875
108,Pigment,Stalk,398,26.065232412060297
109,Pigment,Taxi,501,20.706511976047903
110,Pigment,Topian,6083,1.705402350813743
111,Preposterous,Arrowed,368,21.142586616847826
112,Preposterous,Axed,299,26.021645066889633
113,Preposterous,Banana peel,256,30.39246826171875
114,Preposterous,Bubble Gum,200,38.902359374999996
115,Preposterous,Clear Hijack,20,389.02359375
116,Preposterous,Covert,23,338.2813858695652
117,Preposterous,Drip Hijack,30,259.3490625
118,Preposterous,Furry,60,129.67453125
119,Preposterous,Octopus,254,30.631779035433073
120,Preposterous,Pencilled,120,64.837265625
121,Preposterous,Pickaxed,135,57.633125
122,Preposterous,Pigeon,281,27.688512010676153
123,Preposterous,Rainbow Hijack,10,778.0471875
124,Preposterous,Sad,200,38.902359374999996
125,Preposterous,Snake Scarf,315,24.699910714285714
126,Preposterous,Squirrels,222,35.04717060810811
127,Species,Bricktedtopian,7,1778.3935714285712
128,Species,Bricktopian,6077,2.0485033733750204
129,Species,Clowntopian,360,34.579875
130,Species,Conetopian,13,957.5965384615386
131,Species,Decapitopian,13,957.5965384615386
132,Species,Ghostopian,140,88.91967857142858
133,Species,Goldtopian,220,56.58525
134,Species,Huetopian,2232,5.577399193548387
135,Species,Preposterotopian,97,128.33768041237113
136,Species,Skeletopian,840,14.819946428571429
